PHARMACIES,TELEPHONES,EMPLACEMENTS
PHARMACIE 3IEME ARRONDISSEMENT,☎ 96 32 97 71,"Bd. du 13 Janvier, près de l'Immeuble FIATA"
PHARMACIE BON PASTEUR,☎ 91 43 44 84,"44 Av. de la libération, en face de Brother Home"
PHARMACIE OCEANE,☎ 96 75 25 02,"Rue HOULATA perpend, rue de l'OCAM face Hotel de la PAIX"
PHARMACIE ECLAIR,☎ 96 80 09 06,"Bè Ahligo, près du Marché"
PHARMACIE HORIZON,☎ 90 56 52 56,"165, Bd du 13 janvier Nyékonakpoè. Face Sapeurs-Pompiers à côté de l'immeuble A.AC."
PHARMACIE SOURCE DE VIE,☎ 90 88 25 82,Face Collège Protestant
PHARMACIE ST KISITO,☎ 96 80 09 64,Bd. de la Kara près du Bar TAMTAM
PHARMACIE LIBERATION,☎ 96 80 69 35,Avenue Libération Prolongée
PHARMACIE LA PROSPERITE,☎ 70 44 86 96,Bd Eyadéma entre l'immeuble EDA OBA et la Direction  Police Judiciaire (DPJ)
PHARMACIE GBEZE,☎ 22 26 32 61,Boulevard Jean Paul II
PHARMACIE NOTRE DAME,☎ 96 80 10 12,Rte de l'Aéroport entre la foire TOGO 2000 et l'Aéroport
PHARMACIE ST PIERRE,☎ 70 43 26 67,Sagboville Hédzranawé. Boulevard Haho
PHARMACIE DEO GRATIAS,☎ 96 80 08 93,Rue Notre Dame de la Miséricorde KEGUE DINGBLE
PHARMACIE PEUPLE,☎ 22 26 84 22,Marché NUKAFU
PHARMACIE UNION,☎70 59 09 53,"Bd Malfakassa, face crèmerie BAMUDAS - BE KPOTA"
PHARMACIE O GRAIN D'OR,☎ 70 59 09 53,"Carrefour Zorrobar, Grand contournement"
PHARMACIE ELI-BERACA,☎ 99 91 13 42,"Route d'Adidogomé, Immeuble SIKOVIC face bureau de poste"
PHARMACIE LA REFERENCE,☎ 96 80 09 96,"Route de Kpalimé, Adidogomé Assiyéyé, à côté du bar Madiba"
PHARMACIE BONTE,☎ 92 01 95 14,"Route de SEGBE, Wonyomé-Adidogomé en face de la station Sanol"
PHARMACIE JAHNAP,☎ 96 80 09 29,"A côté de l'EPP Gakli, Djidjolé-Gakli, immeuble Favo"
PHARMACIE CONFIANCE,☎ 91 01 33 38,Face GTA
PHARMACIE LUMIERE,☎ 70 43 15 49,Agbalépédogan
PHARMACIE GROUPE C,☎ 99 98 20 87,Agbalépédogan face Clinique la Victoire non loin de l'EPP Groupe C
PHARMACIE ORCHIDEES,☎ 99 01 03 74,"AGOE-TELESSOU, LEO 2000"
PHARMACIE SOLIDARITE,☎ 96 80 09 76,Rue Avédji Vakpossito - Près de la Station Total Totsi
PHARMACIE ARC-EN-CIEL,☎ 70 42 50 00,"Agoè-Téléssou, à 50m du Carrefour Margot"
PHARMACIE DE LA VICTOIRE,☎ 70 45 74 92,"Avédji Wéssomé, voie douane Adidogomé-carrefour Limousine (Après les rails)"
PHARMACIE AGOE-NYIVE,☎ 91 61 02 62,A côté de l’Eglise Catholique d’Agoè-Nyivé
PHARMACIE APOU ANTOINE,☎ 70 41 36 12,Boulevard Lycée Agoè-Nyivé - Agoè-Assiyéyé
PHARMACIE SHALOM,☎ 22 51 87 60,"Agoè-Cacavéli, non loin de BKS. Sur la route Agoè-Adidogomé"
PHARMACIE MAWUNYO,☎ 70 42 34 64,"Agoè-Sogbossito, route de Mission TOVE en face de la station OANDO"
PHARMACIE LA MAIN DE DIEU,☎ 93 40 21 21,AGOE ASSIYEYE non loin de l'église des Assemblées de Dieu (Temple Galilée)
PHARMACIE CHARITE,☎ 90 65 21 90,A côté du CEG d'Agoè-Nyivé
PHARMACIE ESPACE VIE,☎ 99 85 89 07,"Agoè Logopé, face bar Plaisir 2003"
PHARMACIE DIVINA GRACIA,☎ 93 83 91 00,"Quartier Agoè-Fiovi, Rond point Cool Catch (ancien carrefour Bafana-Bafana)"
PHARMACIE ZOSSIME,☎ 99 99 80 75,"Zossimé, sur la route de Sanguéra près du marché de Zossimé"
PHARMACIE ST PHILIPPE,☎ 90 67 33 24,"Sanguéra, Route Lomé Kpalimé près de la Station service OANDO"
PHARMACIE EVA,☎ 92 16 32 32,"Sanguera, Klikamé, Non loin du T-OIL"
PHARMACIE LE ROCHER,☎ 92 30 06 56,"Agoè zongo, sur la route national N°1, près du terrain de jeu de golf"
PHARMACIE ELEMAWUSSI,☎ 92 34 06 80,"Adétikopé, Médina, Nationale N°1, avant PIA (Plateforme Industrielle)"
PHARMACIE BAGUIDA,☎ 70 42 47 77,Face CMS de Baguida
PHARMACIE LA FLAMME D'AMOUR,☎ 70 45 70 14,"Sise à Agodékè, route d'Aného"
